municipio,año,mes,hombres,mujeres,total
42,2022,3,69,71,140
42,2022,4,63,51,114
42,2022,5,88,56,144
42,2022,6,74,86,160
42,2022,7,80,73,153
42,2022,8,105,83,189
42,2022,9,103,110,213
42,2022,10,97,96,193
42,2022,11,89,97,186
42,2022,12,89,89,179
43,2022,1,138,119,257
43,2022,2,102,127,229
43,2022,3,135,139,274
43,2022,4,98,105,203
43,2022,5,130,104,234
43,2022,6,131,107,238
43,2022,7,143,130,273
43,2022,8,136,120,256
43,2022,9,126,107,233
43,2022,10,127,123,250
43,2022,11,119,96,215
43,2022,12,124,117,242
45,2022,2,2,0,2
45,2022,3,2,1,3
45,2022,5,2,0,2
45,2022,8,0,1,1
45,2022,9,2,0,2
45,2022,10,1,0,1
45,2022,11,0,3,3
46,2022,1,2,7,9
46,2022,2,2,2,4
46,2022,3,4,2,6
46,2022,4,2,3,5
46,2022,5,2,5,7
46,2022,6,0,3,3
46,2022,7,3,2,5
46,2022,8,1,0,1
46,2022,9,1,5,6
46,2022,10,1,3,4
46,2022,11,3,1,4
46,2022,12,3,1,4
47,2022,1,12,10,22
47,2022,2,10,5,15
47,2022,3,8,1,9
47,2022,4,3,2,5
47,2022,5,4,3,7
47,2022,6,4,6,10
47,2022,7,8,5,13
47,2022,8,11,6,17
47,2022,9,2,9,11
47,2022,10,11,10,21
47,2022,11,9,7,16
47,2022,12,11,10,21
48,2022,1,35,27,62
48,2022,2,28,22,50
48,2022,3,28,31,59
48,2022,4,16,27,43
48,2022,5,37,26,63
48,2022,6,24,28,52
48,2022,7,29,32,61
48,2022,8,29,29,58
48,2022,9,35,31,66
48,2022,10,28,32,60
48,2022,11,42,22,64
48,2022,12,29,27,56
49,2022,1,2,0,2
49,2022,2,1,3,4
49,2022,3,2,0,2
49,2022,4,3,2,5
49,2022,5,3,1,4
49,2022,7,1,0,1
49,2022,8,2,2,4
49,2022,9,0,1,1
49,2022,10,2,0,2
49,2022,11,4,1,5
49,2022,12,5,4,9
50,2022,1,1,0,1
50,2022,7,0,1,1
50,2022,8,1,4,5
50,2022,9,0,1,1
50,2022,10,0,1,1
50,2022,11,2,0,2
51,2022,1,2,1,3
51,2022,2,1,3,4
51,2022,3,2,4,6
51,2022,4,1,2,3
51,2022,5,2,0,2
51,2022,6,2,2,4
51,2022,7,1,2,3
51,2022,8,2,2,4
51,2022,9,1,3,4
51,2022,10,3,2,5
51,2022,11,3,5,8
52,2022,1,2,4,6
52,2022,2,1,0,1
52,2022,3,1,3,4
52,2022,5,1,0,1
52,2022,6,0,2,2
52,2022,7,2,0,2
52,2022,8,3,2,5
52,2022,9,1,1,2
52,2022,10,0,4,4
52,2022,11,1,1,2
52,2022,12,2,3,5
55,2022,1,118,112,230
55,2022,2,92,100,192
55,2022,3,86,78,164
55,2022,4,72,76,148
55,2022,5,81,89,170
55,2022,6,81,89,170
55,2022,7,97,85,182
55,2022,8,113,103,216
55,2022,9,122,118,240
55,2022,10,117,100,217
55,2022,11,94,113,207
55,2022,12,99,111,210
56,2022,1,11,9,20
56,2022,2,4,10,14
56,2022,3,4,5,9
56,2022,4,5,5,10
56,2022,5,6,8,14
56,2022,6,4,8,12
56,2022,7,5,3,8
56,2022,8,11,10,21
56,2022,9,7,12,19
56,2022,10,7,8,15
56,2022,11,13,4,17
56,2022,12,10,9,19
57,2022,1,0,1,1
57,2022,4,0,1,1
57,2022,6,2,0,2
57,2022,8,1,0,1
57,2022,9,1,2,3
57,2022,11,1,0,1
57,2022,12,1,1,2
58,2022,1,8,10,18
58,2022,2,12,9,21
58,2022,3,9,12,21
58,2022,4,11,10,21
58,2022,5,6,6,12
58,2022,6,8,10,18
58,2022,7,8,11,19
58,2022,8,11,11,22
58,2022,9,13,8,21
58,2022,10,13,16,29
58,2022,11,7,10,17
58,2022,12,5,6,11
59,2022,1,2,2,4
59,2022,2,0,1,1
59,2022,3,1,1,2
59,2022,4,1,0,1
59,2022,5,0,1,1
59,2022,6,1,2,3
