path,status,rows,cols,missing_cols_count,avg_pct_missing_per_col,read_encoding
datasets_sonora_xlsx/Programa anual de adquisiciones/Julio - 2025.xlsx,ERROR,,,0,,
datasets_sonora_xlsx/Apoyos Social Otorgados a Población Vulnerable en fechas Especiales/Apoyos otorgados 2022.xlsx,OK,72.0,6.0,0,0.0,
datasets_sonora_xlsx/Trámites y Servicios/Tramites y Servicios - 2022.xlsx,OK,770.0,16.0,0,0.0,
datasets_sonora_xlsx/Egresos Hospitalarios/Egresos Hospitalarios.xlsx,OK,328750.0,15.0,0,0.0,
datasets_sonora_xlsx/Proyecciones de población - Grandes grupos de edad/Proyecciones de población por grandes grupos de edad 1990-2040.xlsx,OK,7344.0,11.0,0,0.0,
datasets_sonora_xlsx/Proyecciones de población - Grandes grupos de edad/Diccionario.xlsx,OK,11.0,9.0,2,0.1111,
datasets_sonora_xlsx/Proyecciones de población - Grandes grupos de edad/Catalogo.xlsx,OK,32.0,2.0,0,0.0,
datasets_sonora_xlsx/Gobernanza Tecnológica en la Administración Pública Estatal/Diccionario.xlsx,OK,15.0,9.0,4,0.3037,
datasets_sonora_xlsx/Gobernanza Tecnológica en la Administración Pública Estatal/Gobernanza Tecnológica.xlsx,OK,12.0,15.0,6,0.1833,
datasets_sonora_xlsx/Reporte de Temporada de Caza en el Estado de Sonora/Temporada de caza 2015.xlsx,OK,44.0,8.0,0,0.0,
datasets_sonora_xlsx/Reporte de Temporada de Caza en el Estado de Sonora/Temporada de caza 2022.xlsx,OK,50.0,8.0,2,0.25,
datasets_sonora_xlsx/Reporte de Temporada de Caza en el Estado de Sonora/Temporada de caza 2016.xlsx,OK,48.0,8.0,0,0.0,
datasets_sonora_xlsx/Reporte de Temporada de Caza en el Estado de Sonora/Catalogo.xlsx,OK,52.0,2.0,0,0.0,
datasets_sonora_xlsx/Reporte de Temporada de Caza en el Estado de Sonora/Temporada de caza 2018.xlsx,OK,50.0,8.0,2,0.13,
datasets_sonora_xlsx/Reporte de Temporada de Caza en el Estado de Sonora/Temporada de caza 2021.xlsx,OK,48.0,8.0,2,0.25,
datasets_sonora_xlsx/Reporte de Temporada de Caza en el Estado de Sonora/Temporada de caza 2019.xlsx,OK,50.0,8.0,2,0.25,
datasets_sonora_xlsx/Reporte de Temporada de Caza en el Estado de Sonora/Temporada de caza 2020.xlsx,OK,50.0,8.0,2,0.25,
datasets_sonora_xlsx/Reporte de Temporada de Caza en el Estado de Sonora/Temporada de caza 2017.xlsx,OK,48.0,8.0,2,0.0365,
datasets_sonora_xlsx/Egresados/Egresados - 2020 - 2021.xlsx,OK,30.0,6.0,5,0.4278,
datasets_sonora_xlsx/Estudiantes de nuevo ingreso/Alumnos de Nuevo Ingreso Septiembre - Diciembre 2022.xlsx,OK,14.0,4.0,0,0.0,
datasets_sonora_xlsx/Estudiantes de nuevo ingreso/Alumnos de Nuevo Ingreso Enero - Abril 2022.xlsx,OK,1.0,4.0,0,0.0,
datasets_sonora_xlsx/Estudiantes de nuevo ingreso/Diccionario.xlsx,OK,4.0,9.0,4,0.4444,
datasets_sonora_xlsx/Estudiantes de nuevo ingreso/Alumnos de Nuevo Ingreso Enero - Abril 2025.xlsx,OK,1.0,4.0,0,0.0,
datasets_sonora_xlsx/Estudiantes de nuevo ingreso/Alumnos de Nuevo Ingreso Septiembre - Diciembre 2023.xlsx,OK,13.0,4.0,0,0.0,
datasets_sonora_xlsx/Estudiantes de nuevo ingreso/Alumnos de Nuevo Ingreso Mayo - Agosto 2025.xlsx,OK,1.0,4.0,0,0.0,
datasets_sonora_xlsx/Estudiantes de nuevo ingreso/Alumnos de Nuevo Ingreso Septiembre - Diciembre 2024.xlsx,OK,13.0,4.0,0,0.0,
datasets_sonora_xlsx/Proyecciones de población - Grupos quinquenales de edad/Diccionario.xlsx,OK,25.0,9.0,2,0.1111,
datasets_sonora_xlsx/Proyecciones de población - Grupos quinquenales de edad/Catalogo.xlsx,OK,32.0,2.0,0,0.0,
datasets_sonora_xlsx/Proyecciones de población - Grupos quinquenales de edad/Proyecciones de población por grupos quinquenales.xlsx,OK,7344.0,25.0,0,0.0,
datasets_sonora_xlsx/Índices de Reprobación Modalidad Remota/Indices Agosto - Diciembre 2022.xlsx,OK,64.0,12.0,7,0.3919,
datasets_sonora_xlsx/Registro de Usuarios Beneficiados/Beneficiados.xlsx,OK,778.0,11.0,1,0.004,
datasets_sonora_xlsx/Infraestructura Tecnológica y Ciberseguridad en la Administración Pública Estatal/Diccionario.xlsx,OK,42.0,9.0,5,0.2698,
